Сущность,Create,,Read,,Update,,Delete,
,Роль,Действие,Роль,Действие,Роль,Действие,Роль,Действие
Запись на услугу,"Клиент
Менеджер","Клиент записывается на услугу онлайн 
Менеджера записывает клиента на услугу очно или по телефону","Клиент
Менеджер
Мастер","Клиент может узнать информацию о своей записи
Мастер просматривает записи на услуги к себе
Менеджер видит все записи","Клиент
Менеджер
","Клиент изменяет запись онлайн
Мастер вносит изменения в запись до оказания, отменяет, отмечает, что услуга оказана","Система
Менеджер",Гипотеза: после отмены или завершения услуги она переносится в архив для хранения истории записей
Клиент,"Клиент
Менеджер","Клиент самостоятельно регистрируется в системе
Менеджер заносит даные клиента в систему","Клиент
Менеджер
Мастер","Клиент видит свои данные
Менеджер видит данные всех клиентов
Мастер видит данные клиентов, когда-либо записавшихся на их услуги","Клиент
Менеджер
","Клиент может самостоятельно изменить данные 
Менеджер может изменить данные по запросу клиента","Клиент
Менеджер","Гипотеза: не удаляем клиента, а переносим в архив, чтобы бфла возможность посмотреть историю записей"
Услуга,Менеджер,Менеджер заносит услуги и информацию в Систему,"Менеджер
Мастер
Клиент","Менеджер может прсматривать все доступные в барбершопе услуги
Мастер может просматривать свои услуги
Клиент может просматривать все доступные в барбершопе услуги",Менеджер,"Менеджер может вносить изменения в услуги, архивировать их",Менеджер,"Гипотеза: Услуги не удаляются, а архивируются"
Менеджер,Менеджер,Уточнить: кто создает роль менеджера в системе?,Менеджер,Уточнить: нужны ли какие-либо действия с менеджером в системе,Менеджер,Менеджер изменяет свои данные и данные других менеджеров в системе,Менеджер,Удаляет неактивных менеджеров
Мастер,Менеджер,Менеджер добавляет мастера в систему,"Клиент
Менеджер
Мастер","Клиент просматривает доступных мастеров
Менеджер просматривает список мастеров
Мастер смотрит свой профиль
",Менеджер,"Менеджер вносит изменения о мастере
Уточнить у стйкхолдера: может ли мастер изменять данные о себе",Менеджер,Гипотеза: архивирует мастера в системе после увольнения
Рабочие интервалы мастера,Менеджер,Менеджер добавляет интервалы мастеров в систему,"Клиент
Менеджер
Мастер","Клиент просматривает доступные интервалы для записи
Менеджер просматривает расписание всех мастеров
Мастер смотрит свое расписание
",Менеджер,Менеджер вносит изменения в расписание мастеров,Менеджер,Удаляет незанятые записью интервалы
Оплата,Менеджер,"Менеджер начисляет и принимает оплату после оказания услуги
","Менеджер
Бухгалтерия","Менеджер просматривает оплату
Бухгалтерия просматривает оплату",Менеджер,"Менеджер корректирует данные оплаты (например при ошибке суммы оплаты)
Менеджер осуществляет возврат оплаты клиенту",Менеджер,Гипотеза: при отмене оплаты не удаляет а архивирует оплату
Отзыв,Клиент,"Оставляет оценку услуги и предложение по улучшению после получения услуги","Клиент
Менеджер
Мастер","Менеджер просматривает отзывы клиентов
Мастер просматривает отзывы по своим услугам
","Клиент

","Клиент может обновлять, дополнять отзыв",Менеджер,Гипотеза: удаляет отзывы при нарушении правил/ плохие отзывы